Date,Department,Category,Vendor,Amount
2026-04-03, Marketing , Events & Sponsorships,WeWork,2239.29
2026-04-24,operations, Logistics,Uber for Business,1476.49
2026-04-15,IT,hardware,Microsoft 365,5056.71
10/4/2026,HR,Recruiting,WeWork,4851.31
2026-04-23,Marketing,Events & Sponsorships,WeWork,2167.56
2026-04-19, Marketing ,digital advertising,Staples Inc,2206.62
2026-04-07,Sales,CLIENT ENTERTAINMENT,LinkedIn Corp,1382.94
27/4/2026,Sales,CLIENT ENTERTAINMENT,Uber for Business,1456.28
2026-04-07,marketing,events & sponsorships,Uber for Business,1427.94
2026-04-25,OPERATIONS,LOGISTICS,Microsoft 365,1770.81
2026-04-03,IT,Hardware ,Staples Inc,3958.53
2026-04-20,HR,RECRUITING,WeWork,5416.81
2026-04-20,Sales,TRAVEL,Uber for Business,2689.37
2026-04-02,IT, Software Licenses,Google Ads,5343.37
2026-04-19,Operations,Logistics ,Uber for Business,1338.32
2026-04-27,sales, Client Entertainment,Google Ads,1236.36
2026-04-03,HR,Training ,Google Ads,1371.45
2026-04-20,HR,TRAINING,Air Canada,1712.92
2026-04-16,Operations,Supplies,Uber for Business,3925.67
2026-04-10,,,,
2026-04-17,marketing,Digital Advertising ,WeWork,1545.56
2026-04-23,Operations,supplies,Microsoft 365,3006.7
2026-04-10,sales,Client Entertainment ,WeWork,1147.69
8/4/2026,OPERATIONS,logistics,Google Ads,1366.25
2026-04-23,Sales,TRAVEL,Uber for Business,3115.86
2026-04-12,IT,Software Licenses ,LinkedIn Corp,5424.71
2026-04-15,Marketing,digital advertising,Dell Technologies,2234.44
2026-04-28, HR ,training,FedEx,1542.07
2026-04-27,marketing, Digital Advertising,Air Canada,2323.15
