Date,Department,Category,Vendor,Amount
2026-06-28,IT,Hardware ,Staples Inc,1706.89
2026-06-22,SALES, Travel,Google Ads,3015.26
2026-06-08,IT,SOFTWARE LICENSES,Google Ads,7648.54
2026-06-21, Operations ,logistics,Air Canada,2128.84
2026-06-05,IT,hardware,LinkedIn Corp,1782.6
2026-06-20,Operations, Supplies,Uber for Business,2058.05
4/6/2026,Operations,supplies,Microsoft 365,2162.65
2026-06-26,Marketing, Events & Sponsorships,Staples Inc,1710.41
2026-06-04,SALES,CLIENT ENTERTAINMENT,Microsoft 365,739.11
2026-06-04,Sales,client entertainment,Google Ads,695.03
28/6/2026,IT,hardware,Air Canada,1576.0
2026-06-15,HR,Recruiting ,Google Ads,1681.57
2026-06-18,Sales, Client Entertainment,Dell Technologies,1061.0
2026-06-15,MARKETING,EVENTS & SPONSORSHIPS,Indeed.com,1579.73
2026-06-25,Sales,client entertainment,FedEx,1019.52
2026-06-08,Operations,logistics,WeWork,1658.48
2026-06-04,marketing,Events & Sponsorships ,Indeed.com,1147.08
2026-06-16, HR ,Recruiting,Google Ads,2532.51
2026-06-09,HR,Training ,Dell Technologies,1290.37
9/6/2026,operations,LOGISTICS,Microsoft 365,2167.29
21/6/2026, Operations ,Logistics ,Indeed.com,2112.08
2026-06-24,Operations, Supplies,FedEx,1831.29
2026-06-20, HR ,Training ,FedEx,1620.43
12/6/2026,MARKETING, Events & Sponsorships,Staples Inc,1594.3
2026-06-14,MARKETING,Digital Advertising ,Dell Technologies,5291.76
2026-06-08,OPERATIONS, Supplies,Microsoft 365,1527.73
1/6/2026, HR , Recruiting,Indeed.com,2220.78
2026-06-26,HR,TRAINING,Indeed.com,1672.04
2026-06-08,HR,Recruiting ,Uber for Business,2212.53
3/6/2026,Sales,travel,LinkedIn Corp,2380.32
2026-06-01,IT,HARDWARE,Indeed.com,2167.26
2026-06-09,marketing, Digital Advertising,Uber for Business,6015.09
2026-06-27, Sales ,Travel,Dell Technologies,2990.75
2026-06-03,IT,Software Licenses,Staples Inc,7794.96
