Date,Department,Category,Vendor,Amount
2026-08-26,IT,hardware,Uber for Business,1660.33
2026-08-12,IT,software licenses,Google Ads,2385.38
22/8/2026,operations,Logistics,WeWork,2567.26
2026-08-27,MARKETING, Events & Sponsorships,Microsoft 365,892.29
2026-08-12,IT, Software Licenses,Microsoft 365,1996.19
2026-08-10,,,,
2026-08-26,HR, Training,Dell Technologies,1098.41
2026-08-21,marketing,Digital Advertising ,Google Ads,1613.62
3/8/2026,MARKETING,EVENTS & SPONSORSHIPS,WeWork,1093.93
2026-08-24,IT,Software Licenses ,Dell Technologies,2320.77
2026-08-03,HR,Recruiting ,Uber for Business,4269.64
2026-08-26,Operations,Logistics,Indeed.com,3243.72
2026-08-17,marketing,Digital Advertising,LinkedIn Corp,2139.17
2026-08-12, Marketing ,Digital Advertising,Indeed.com,2259.11
2026-08-25,operations,Supplies,Staples Inc,1649.22
2026-08-10,HR, Training,LinkedIn Corp,1139.08
2026-08-28,it,hardware,Google Ads,1762.89
2026-08-21,MARKETING,EVENTS & SPONSORSHIPS,Staples Inc,1231.33
2026-08-27,it,Hardware,Air Canada,2041.1
2026-08-21, Operations ,Supplies,Google Ads,1457.51
2026-08-02, Sales ,travel,Dell Technologies,2881.08
2026-08-23, IT ,Hardware,Uber for Business,1579.34
2026-08-03,Sales,travel,Indeed.com,2192.81
2026-08-16,HR,recruiting,Google Ads,3749.1
18/8/2026,sales, Client Entertainment,Air Canada,1501.03
4/8/2026,SALES, Client Entertainment,WeWork,1368.3
2026-08-16,Operations,Supplies ,FedEx,2078.07
1/8/2026,Sales, Travel,Staples Inc,2513.4
2026-08-15, HR ,recruiting,LinkedIn Corp,3532.25
2026-08-12,hr,Training ,Indeed.com,1414.85
17/8/2026, Marketing ,Digital Advertising,Air Canada,1639.58
2026-08-10, Sales ,CLIENT ENTERTAINMENT,Google Ads,2089.76
2026-08-05,Operations,Supplies ,Dell Technologies,1461.14
2026-08-08,sales,travel,Indeed.com,1760.26
2026-08-03,Marketing,events & sponsorships,Google Ads,953.24
