Date,Department,Category,Vendor,Amount
1/1/2026,Sales,TRAVEL,Google Ads,2472.66
2026-01-22,operations,Supplies,Air Canada,994.95
13/1/2026,marketing,Events & Sponsorships ,Dell Technologies,994.53
2026-01-18,Marketing, Digital Advertising,Air Canada,4302.7
2026-01-04,it,Hardware ,FedEx,1863.3
15/1/2026,it,Hardware ,LinkedIn Corp,1782.16
2026-01-18,it,Hardware,Uber for Business,2056.97
25/1/2026,Operations,logistics,Indeed.com,4048.68
2026-01-13,operations,SUPPLIES,Dell Technologies,1636.34
2026-01-25,Marketing, Events & Sponsorships,Google Ads,1064.21
2026-01-22,Operations,Supplies ,LinkedIn Corp,1224.9
2026-01-08, Operations ,supplies,WeWork,1368.86
2026-01-21,Sales, Travel,Google Ads,3045.65
2026-01-07,SALES,travel,Indeed.com,2239.77
2026-01-15,IT,Hardware,Google Ads,1723.01
2026-01-18,HR,Recruiting,FedEx,5425.48
2026-01-07,Operations,logistics,Air Canada,2889.98
2026-01-18,IT, Software Licenses,FedEx,2976.96
2026-01-05,HR,TRAINING,Uber for Business,2435.09
2026-01-19,,,,
1/1/2026,hr,recruiting,Air Canada,4192.68
2026-01-19,SALES, Client Entertainment,Indeed.com,2090.65
2026-01-09,Marketing,DIGITAL ADVERTISING,Indeed.com,3930.96
2026-01-02,IT,SOFTWARE LICENSES,Indeed.com,1958.38
2026-01-03,Sales,Travel ,Air Canada,1992.9
2026-01-08, Sales ,CLIENT ENTERTAINMENT,WeWork,1991.74
2026-01-21,it,SOFTWARE LICENSES,Air Canada,3194.5
2026-01-08,IT,Software Licenses ,Microsoft 365,2438.79
3/1/2026, HR ,Training,WeWork,2185.0
2026-01-12,Marketing, Events & Sponsorships,WeWork,1174.84
