Date,Department,Category,Vendor,Amount
2026-03-14, Marketing ,EVENTS & SPONSORSHIPS,FedEx,1051.64
2026-03-24,sales,TRAVEL,Google Ads,3704.64
2026-03-25,Sales,Client Entertainment ,Google Ads,918.46
2026-03-10, HR ,Recruiting ,WeWork,4868.72
2026-03-27,IT, Software Licenses,Air Canada,3151.87
2026-03-06,Sales,Client Entertainment ,Staples Inc,957.01
2026-03-11, HR ,RECRUITING,Microsoft 365,2759.77
2026-03-08,Sales,Client Entertainment ,LinkedIn Corp,589.48
2026-03-02,Marketing,Digital Advertising ,WeWork,3190.03
2026-03-06, IT , Software Licenses,Uber for Business,2649.36
2026-03-15,IT, Software Licenses,WeWork,3477.6
2026-03-21,Operations,SUPPLIES,Uber for Business,2410.01
2026-03-03,IT,software licenses,Dell Technologies,2367.9
2026-03-13,Marketing,events & sponsorships,Uber for Business,1410.72
2026-03-14,Operations,LOGISTICS,Indeed.com,1355.21
28/3/2026,OPERATIONS, Logistics,WeWork,1885.03
8/3/2026,Operations,Logistics,Indeed.com,1816.12
2026-03-24,MARKETING,digital advertising,Indeed.com,4358.07
2026-03-13, Sales ,travel,Google Ads,3404.09
2026-03-15,hr, Training,Dell Technologies,2455.47
2026-03-11, IT ,Hardware,Air Canada,3828.63
7/3/2026,Operations,SUPPLIES,Microsoft 365,1993.36
2026-03-22, Marketing ,events & sponsorships,WeWork,1360.35
2026-03-26,OPERATIONS,Supplies,Uber for Business,2403.88
2026-03-13,IT,Hardware,FedEx,4840.59
2026-03-16,Sales,CLIENT ENTERTAINMENT,Microsoft 365,691.61
2026-03-05,IT,HARDWARE,Google Ads,3019.37
2026-03-22,Marketing,digital advertising,Google Ads,2907.63
2026-03-26,marketing, Events & Sponsorships,Microsoft 365,1119.01
2026-03-08,hr, Recruiting,Microsoft 365,4538.95
2026-03-26,Operations, Logistics,Staples Inc,1514.86
2026-03-13,HR,Training,Indeed.com,3206.65
