Date,Department,Category,Vendor,Amount
2026-05-05, HR ,Training ,LinkedIn Corp,1935.49
2026-05-11,IT,Software Licenses ,Indeed.com,2391.05
2026-05-15, Marketing ,Events & Sponsorships,Staples Inc,1677.85
2026-05-20,MARKETING,events & sponsorships,WeWork,1714.28
28/5/2026, IT ,Hardware,WeWork,5216.37
2026-05-13,SALES, Travel,FedEx,3360.27
2026-05-15, Sales ,travel,Staples Inc,2477.95
2026-05-28,SALES, Client Entertainment,FedEx,2369.9
2026-05-08,hr,RECRUITING,Google Ads,4844.11
2026-05-09, Marketing ,Digital Advertising ,Staples Inc,2173.06
25/5/2026,marketing,Events & Sponsorships ,LinkedIn Corp,1435.7
2026-05-01, IT ,HARDWARE,Google Ads,6167.28
2026-05-25,it, Software Licenses,Indeed.com,2168.58
2026-05-09, Operations ,logistics,WeWork,2105.97
2026-05-02,marketing,Events & Sponsorships ,Microsoft 365,1304.77
2026-05-01,operations,Logistics ,FedEx,1486.99
2026-05-27, Operations ,Supplies,LinkedIn Corp,2534.1
2026-05-14, Sales ,client entertainment,Air Canada,1975.54
2026-05-22,IT, Software Licenses,Staples Inc,2404.78
2026-05-11, HR ,Recruiting ,Staples Inc,4199.41
2026-05-13,Marketing,Digital Advertising,Microsoft 365,3168.08
2026-05-20,HR,recruiting,WeWork,3887.21
6/5/2026,sales,Client Entertainment ,Uber for Business,2017.85
2026-05-23,operations, Supplies,Microsoft 365,3349.05
2026-05-18,it,Software Licenses ,WeWork,2036.99
2026-05-23, HR ,TRAINING,Uber for Business,2419.55
2026-05-28, Marketing , Digital Advertising,Uber for Business,3181.16
2026-05-28,,,,
2026-05-02,HR,training,Dell Technologies,2599.17
2026-05-13,Operations,Logistics ,LinkedIn Corp,1781.62
