Date,Department,Category,Vendor,Amount
2026-02-08,sales,Travel ,Indeed.com,2232.88
5/2/2026,sales,Travel,Dell Technologies,2132.35
4/2/2026,HR,Training ,Staples Inc,2312.2
2026-02-16,marketing,EVENTS & SPONSORSHIPS,Staples Inc,3090.1
2026-02-19,Operations,Supplies,FedEx,2336.13
2026-02-17,Operations,Supplies,LinkedIn Corp,2311.52
2026-02-09, HR ,Training ,Indeed.com,1736.57
2026-02-03,OPERATIONS, Supplies,Google Ads,1368.69
2026-02-24,it,hardware,FedEx,3270.13
2026-02-21,HR, Recruiting,Uber for Business,5405.07
22/2/2026,IT,hardware,Google Ads,2331.36
13/2/2026,operations, Logistics,Dell Technologies,2443.02
2026-02-24,SALES,TRAVEL,LinkedIn Corp,3471.58
11/2/2026,Operations, Supplies,WeWork,1360.31
2026-02-07,Marketing,DIGITAL ADVERTISING,Indeed.com,5156.84
2026-02-01,MARKETING,DIGITAL ADVERTISING,Indeed.com,5328.33
23/2/2026,Sales, Client Entertainment,Air Canada,859.64
2026-02-15,SALES,CLIENT ENTERTAINMENT,Staples Inc,885.82
28/2/2026, HR ,recruiting,Staples Inc,8173.12
2026-02-05,IT,SOFTWARE LICENSES,Dell Technologies,3750.25
2026-02-11, Sales ,CLIENT ENTERTAINMENT,Uber for Business,1233.98
2026-02-26,marketing, Events & Sponsorships,WeWork,2419.76
2026-02-17,operations,LOGISTICS,Dell Technologies,3042.74
2026-02-19,IT,Software Licenses ,Air Canada,4008.73
2026-02-23,IT,Hardware,WeWork,3181.12
